psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
30_8_1,0,0,0,1,0,0,0,0,0,0
194_1_2,1,0,0,0,0,0,0,0,0,0
224_6_1,0,0,1,0,0,0,0,0,0,0
323_10_1,0,0,0,0,1,0,0,0,0,0
428_10_1,0,0,0,1,0,0,0,0,0,0
809_6_2,0,0,1,0,0,0,0,0,0,0
138_2_1,0,0,0,0,1,0,0,0,0,0
329_1_1,0,1,0,0,0,0,0,0,0,0
409_8_1,0,0,0,1,0,0,0,0,0,0
186_4_2,0,0,0,0,1,0,0,0,0,0
688_5_1,0,0,0,0,0,1,0,0,0,0
364_6_2,0,0,1,0,0,0,0,0,0,0
528_8_1,0,0,0,0,1,0,0,0,0,0
758_4_2,0,0,0,0,0,0,1,0,0,0
647_5_2,0,0,0,1,0,0,0,0,0,0
176_7_1,0,0,1,0,0,0,0,0,0,0
328_8_1,0,1,0,0,0,0,0,0,0,0
512_8_1,0,0,0,0,0,1,0,0,0,0
431_4_1,0,0,0,1,0,0,0,0,0,0
31_8_1,0,0,0,0,1,0,0,0,0,0
174_2_3,0,1,0,0,0,0,0,0,0,0
581_7_1,1,0,0,0,0,0,0,0,0,0
60_1_1,0,1,0,0,0,0,0,0,0,0
580_9_1,1,0,0,0,0,0,0,0,0,0
742_8_1,0,0,0,1,0,0,0,0,0,0
427_7_1,0,0,0,0,1,0,0,0,0,0
589_5_1,0,1,0,0,0,0,0,0,0,0
376_4_2,0,0,0,0,1,0,0,0,0,0
452_1_1,0,0,0,1,0,0,0,0,0,0
579_2_1,1,0,0,0,0,0,0,0,0,0
223_7_1,0,0,0,0,0,0,1,0,0,0
689_7_1,0,0,0,0,0,0,0,1,0,0
797_5_1,0,1,0,0,0,0,0,0,0,0
86_2_1,0,0,0,1,0,0,0,0,0,0
203_3_1,0,0,0,0,1,0,0,0,0,0
55_4_1,0,0,0,0,1,0,0,0,0,0
575_5_1,0,0,0,0,0,0,1,0,0,0
731_7_1,0,0,0,0,0,0,1,0,0,0
482_3_1,0,0,0,0,0,0,0,1,0,0
751_9_1,0,0,0,1,0,0,0,0,0,0
147_8_1,0,0,0,0,1,0,0,0,0,0
185_6_1,1,0,0,0,0,0,0,0,0,0
477_8_1,0,0,0,0,1,0,0,0,0,0
262_1_1,0,0,0,0,0,0,1,0,0,0
599_1_1,0,0,0,0,0,0,1,0,0,0
773_4_2,0,1,0,0,0,0,0,0,0,0
409_2_1,0,0,0,1,0,0,0,0,0,0
311_5_1,0,0,0,0,1,0,0,0,0,0
386_7_1,0,1,0,0,0,0,0,0,0,0
62_4_2,0,0,0,0,0,0,1,0,0,0
262_6_1,0,0,0,0,0,0,0,1,0,0
507_4_1,0,0,0,1,0,0,0,0,0,0
377_4_1,0,0,1,0,0,0,0,0,0,0
305_1_1,0,0,0,0,1,0,0,0,0,0
398_8_1,0,0,0,0,0,1,0,0,0,0
322_5_1,0,0,0,0,1,0,0,0,0,0
161_2_2,0,1,0,0,0,0,0,0,0,0
361_5_1,0,0,0,1,0,0,0,0,0,0
390_4_1,0,1,0,0,0,0,0,0,0,0
640_7_2,0,0,0,1,0,0,0,0,0,0
480_3_1,0,0,0,0,0,1,0,0,0,0
28_2_1,0,0,0,1,0,0,0,0,0,0
69_1_1,0,1,0,0,0,0,0,0,0,0
197_2_1,0,0,1,0,0,0,0,0,0,0
750_9_2,0,0,1,0,0,0,0,0,0,0
367_3_1,0,1,0,0,0,0,0,0,0,0
329_6_1,0,0,1,0,0,0,0,0,0,0
829_1_2,0,0,0,0,1,0,0,0,0,0
710_12_1,0,0,0,0,0,1,0,0,0,0
235_8_1,0,0,1,0,0,0,0,0,0,0
517_3_1,0,0,0,0,0,0,1,0,0,0
378_4_1,0,0,1,0,0,0,0,0,0,0
146_5_1,0,0,0,1,0,0,0,0,0,0
379_5_1,0,0,1,0,0,0,0,0,0,0
391_5_1,0,0,0,0,1,0,0,0,0,0
339_2_2,0,0,0,0,1,0,0,0,0,0
507_8_1,0,0,0,0,1,0,0,0,0,0
464_7_3,0,0,0,0,0,1,0,0,0,0
381_6_1,0,0,0,0,0,0,0,1,0,0
751_3_7,0,0,0,0,0,0,0,1,0,0
601_6_1,0,0,0,1,0,0,0,0,0,0
685_2_1,0,0,0,1,0,0,0,0,0,0
624_2_2,0,0,0,0,1,0,0,0,0,0
664_11_1,0,0,1,0,0,0,0,0,0,0
777_2_2,0,0,0,0,0,1,0,0,0,0
751_5_1,0,0,0,1,0,0,0,0,0,0
322_11_1,0,0,0,0,1,0,0,0,0,0
403_5_2,0,0,0,0,0,1,0,0,0,0
803_4_1,0,0,0,0,1,0,0,0,0,0
145_2_1,0,0,0,0,1,0,0,0,0,0
392_4_1,0,0,0,0,1,0,0,0,0,0
